salary,season_start,team,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_WS,height,position,shoots,weight,draft_age
395000,1990,Portland Trail Blazers,0.3,50.2,0.0,70.1,256,13.0,5.7,4.8,208.28,Power Forward,Right,108.86207999999999,22.0
494000,1991,Portland Trail Blazers,0.3,50.2,0.0,70.1,256,13.0,5.7,4.8,208.28,Power Forward,Right,108.86207999999999,22.0
500000,1992,Boston Celtics,0.3,50.2,0.0,70.1,256,13.0,5.7,4.8,208.28,Power Forward,Right,108.86207999999999,22.0
805000,1993,Boston Celtics,0.3,50.2,0.0,70.1,256,13.0,5.7,4.8,208.28,Power Forward,Right,108.86207999999999,22.0
650000,1994,Sacramento Kings,0.3,50.2,0.0,70.1,256,13.0,5.7,4.8,208.28,Power Forward,Right,108.86207999999999,22.0
1530000,1984,Los Angeles Lakers,3.6,55.9,5.6,72.1,1560,24.6,24.6,273.4,218.44000000000003,Center,Right,102.0582,22.0
2030000,1985,Los Angeles Lakers,3.6,55.9,5.6,72.1,1560,24.6,24.6,273.4,218.44000000000003,Center,Right,102.0582,22.0
2000000,1987,Los Angeles Lakers,3.6,55.9,5.6,72.1,1560,24.6,24.6,273.4,218.44000000000003,Center,Right,102.0582,22.0
3000000,1988,Los Angeles Lakers,3.6,55.9,5.6,72.1,1560,24.6,24.6,273.4,218.44000000000003,Center,Right,102.0582,22.0
1660000,1990,Denver Nuggets,3.5,44.2,35.4,90.5,586,15.4,14.6,25.2,185.42,Point Guard,Right,73.481904,21.0
2008000,1991,Denver Nuggets,3.5,44.2,35.4,90.5,586,15.4,14.6,25.2,185.42,Point Guard,Right,73.481904,21.0
2358000,1992,Denver Nuggets,3.5,44.2,35.4,90.5,586,15.4,14.6,25.2,185.42,Point Guard,Right,73.481904,21.0
1825000,1993,Denver Nuggets,3.5,44.2,35.4,90.5,586,15.4,14.6,25.2,185.42,Point Guard,Right,73.481904,21.0
2200000,1994,Denver Nuggets,3.5,44.2,35.4,90.5,586,15.4,14.6,25.2,185.42,Point Guard,Right,73.481904,21.0
2600000,1995,Denver Nuggets,3.5,44.2,35.4,90.5,586,15.4,14.6,25.2,185.42,Point Guard,Right,73.481904,21.0
3100000,1996,Sacramento Kings,3.5,44.2,35.4,90.5,586,15.4,14.6,25.2,185.42,Point Guard,Right,73.481904,21.0
3300000,1997,Sacramento Kings,3.5,44.2,35.4,90.5,586,15.4,14.6,25.2,185.42,Point Guard,Right,73.481904,21.0
798500,2000,Vancouver Grizzlies,3.5,44.2,35.4,90.5,586,15.4,14.6,25.2,185.42,Point Guard,Right,73.481904,21.0
1226880,1997,Sacramento Kings,1.1,41.7,23.7,70.3,236,11.4,7.8,3.5,198.12,Shooting Guard,Right,101.151016,23.0
1411000,1998,Sacramento Kings,1.1,41.7,23.7,70.3,236,11.4,7.8,3.5,198.12,Shooting Guard,Right,101.151016,23.0
1594920,1999,Denver Nuggets,1.1,41.7,23.7,70.3,236,11.4,7.8,3.5,198.12,Shooting Guard,Right,101.151016,23.0
4500000,2000,Denver Nuggets,1.1,41.7,23.7,70.3,236,11.4,7.8,3.5,198.12,Shooting Guard,Right,101.151016,23.0
5062500,2001,Denver Nuggets,1.1,41.7,23.7,70.3,236,11.4,7.8,3.5,198.12,Shooting Guard,Right,101.151016,23.0
5625000,2002,Dallas Mavericks,1.1,41.7,23.7,70.3,236,11.4,7.8,3.5,198.12,Shooting Guard,Right,101.151016,23.0
6187500,2003,Dallas Mavericks,1.1,41.7,23.7,70.3,236,11.4,7.8,3.5,198.12,Shooting Guard,Right,101.151016,23.0
6750000,2004,Dallas Mavericks,1.1,41.7,23.7,70.3,236,11.4,7.8,3.5,198.12,Shooting Guard,Right,101.151016,23.0
3656250,2005,Dallas Mavericks,1.1,41.7,23.7,70.3,236,11.4,7.8,3.5,198.12,Shooting Guard,Right,101.151016,23.0
1968750,2006,Dallas Mavericks,1.1,41.7,23.7,70.3,236,11.4,7.8,3.5,198.12,Shooting Guard,Right,101.151016,23.0
2186000,1996,Vancouver Grizzlies,2.5,47.2,29.7,81.0,830,19.0,18.1,71.2,205.74,Center and Small Forward and Power Forward,Right,102.0582,20.0
9000000,1999,Vancouver Grizzlies,2.5,47.2,29.7,81.0,830,19.0,18.1,71.2,205.74,Center and Small Forward and Power Forward,Right,102.0582,20.0
10130000,2000,Vancouver Grizzlies,2.5,47.2,29.7,81.0,830,19.0,18.1,71.2,205.74,Center and Small Forward and Power Forward,Right,102.0582,20.0
11250000,2001,Atlanta Hawks,2.5,47.2,29.7,81.0,830,19.0,18.1,71.2,205.74,Center and Small Forward and Power Forward,Right,102.0582,20.0
12375000,2002,Atlanta Hawks,2.5,47.2,29.7,81.0,830,19.0,18.1,71.2,205.74,Center and Small Forward and Power Forward,Right,102.0582,20.0
13500000,2003,Atlanta Hawks,2.5,47.2,29.7,81.0,830,19.0,18.1,71.2,205.74,Center and Small Forward and Power Forward,Right,102.0582,20.0
14625000,2004,Portland Trail Blazers,2.5,47.2,29.7,81.0,830,19.0,18.1,71.2,205.74,Center and Small Forward and Power Forward,Right,102.0582,20.0
5000000,2005,Sacramento Kings,2.5,47.2,29.7,81.0,830,19.0,18.1,71.2,205.74,Center and Small Forward and Power Forward,Right,102.0582,20.0
5400000,2006,Sacramento Kings,2.5,47.2,29.7,81.0,830,19.0,18.1,71.2,205.74,Center and Small Forward and Power Forward,Right,102.0582,20.0
5800000,2007,Sacramento Kings,2.5,47.2,29.7,81.0,830,19.0,18.1,71.2,205.74,Center and Small Forward and Power Forward,Right,102.0582,20.0
6600000,2009,Sacramento Kings,2.5,47.2,29.7,81.0,830,19.0,18.1,71.2,205.74,Center and Small Forward and Power Forward,Right,102.0582,20.0
398762,2005,Detroit Pistons,0.5,37.0,32.0,50.0,30,8.5,2.7,-0.2,195.57999999999998,Shooting Guard,Right,83.91452,22.0
839209,2006,Detroit Pistons,0.5,37.0,32.0,50.0,30,8.5,2.7,-0.2,195.57999999999998,Shooting Guard,Right,83.91452,22.0
711517,2008,Los Angeles Clippers,0.5,37.0,32.0,50.0,30,8.5,2.7,-0.2,195.57999999999998,Shooting Guard,Right,83.91452,22.0
75000,1987,Boston Celtics,0.5,50.6,53.8,66.5,375,9.0,3.6,9.3,210.82,Center,Right,99.79024,23.0
300000,1988,Boston Celtics,0.5,50.6,53.8,66.5,375,9.0,3.6,9.3,210.82,Center,Right,99.79024,23.0
437000,1990,Orlando Magic,0.5,50.6,53.8,66.5,375,9.0,3.6,9.3,210.82,Center,Right,99.79024,23.0
547000,1991,Orlando Magic,0.5,50.6,53.8,66.5,375,9.0,3.6,9.3,210.82,Center,Right,99.79024,23.0
250000,1992,Houston Rockets,0.5,50.6,53.8,66.5,375,9.0,3.6,9.3,210.82,Center,Right,99.79024,23.0
665000,2012,Toronto Raptors,0.6,44.4,35.0,75.9,337,11.2,4.9,8.7,200.66,Power Forward and Small Forward,Right,108.86207999999999,22.0
788872,2013,Toronto Raptors,0.6,44.4,35.0,75.9,337,11.2,4.9,8.7,200.66,Power Forward and Small Forward,Right,108.86207999999999,22.0
915243,2014,New York Knicks,0.6,44.4,35.0,75.9,337,11.2,4.9,8.7,200.66,Power Forward and Small Forward,Right,108.86207999999999,22.0
981348,2015,Sacramento Kings,0.6,44.4,35.0,75.9,337,11.2,4.9,8.7,200.66,Power Forward and Small Forward,Right,108.86207999999999,22.0
1914544,2016,Brooklyn Nets,0.6,44.4,35.0,75.9,337,11.2,4.9,8.7,200.66,Power Forward and Small Forward,Right,108.86207999999999,22.0
1050961,2016,Dallas Mavericks,0.6,44.4,35.0,75.9,337,11.2,4.9,8.7,200.66,Power Forward and Small Forward,Right,108.86207999999999,22.0
1709538,2017,Brooklyn Nets,0.6,44.4,35.0,75.9,337,11.2,4.9,8.7,200.66,Power Forward and Small Forward,Right,108.86207999999999,22.0
500000,1984,Phoenix Suns,4.1,49.8,13.3,78.8,988,18.3,14.1,73.5,205.74,Center and Power Forward,Right,95.25431999999999,21.0
600000,1985,Phoenix Suns,4.1,49.8,13.3,78.8,988,18.3,14.1,73.5,205.74,Center and Power Forward,Right,95.25431999999999,21.0
675000,1987,Phoenix Suns,4.1,49.8,13.3,78.8,988,18.3,14.1,73.5,205.74,Center and Power Forward,Right,95.25431999999999,21.0
412718,2006,New Jersey Nets,0.2,53.4,0.0,64.3,73,11.8,2.5,0.8,193.04,Shooting Guard,Right,99.79024,22.0
297163,2008,Los Angeles Clippers,0.2,53.4,0.0,64.3,73,11.8,2.5,0.8,193.04,Shooting Guard,Right,99.79024,22.0
1344120,2014,Memphis Grizzlies,0.6,40.2,38.5,60.7,32,13.1,3.2,0.4,195.57999999999998,Shooting Guard,Right,94.80072799999999,20.0
1404600,2015,Memphis Grizzlies,0.6,40.2,38.5,60.7,32,13.1,3.2,0.4,195.57999999999998,Shooting Guard,Right,94.80072799999999,20.0
1465080,2016,Memphis Grizzlies,0.6,40.2,38.5,60.7,32,13.1,3.2,0.4,195.57999999999998,Shooting Guard,Right,94.80072799999999,20.0
85000,1985,Sacramento Kings,6.4,41.5,33.2,84.9,653,16.6,14.7,46.9,177.8,Point Guard,Right,73.481904,22.0
